Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore,Action,Adventure,Aniimation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Success
2014,121,8.1,757074,333.13,76,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2012,124,7,485820,126.46,65,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2016,117,7.3,157606,138.12,62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2016,108,7.2,60545,270.32,59,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,123,6.2,393727,325.02,40,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,103,6.1,56036,45.13,42,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,128,8.3,258682,151.06,93,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2016,141,7.1,7188,8.01,78,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,116,7,192177,100.01,41,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,133,7.5,232072,234.02,66,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2016,127,7.8,93103,169.27,74,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,133,7.9,323118,532.17,65,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2016,107,7.7,118151,248.75,81,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,109,6.4,8612,2.87,70,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,87,6.6,120259,368.31,61,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,139,8.2,211760,67.12,71,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,123,6.7,150823,162.16,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,118,8.1,102061,51.69,69,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,116,8,340798,100.5,81,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2016,120,6.7,19053,7.22,49,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,137,7.9,134213,47.7,96,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,92,6.5,38552,153.69,56,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,120,5.3,127553,103.14,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,100,6.2,66540,113.08,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,115,5.9,112813,54.65,36,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,111,6.3,48123,60.31,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,116,7.5,126030,10.64,67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,144,7.1,275510,155.33,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2016,108,8,627797,363.02,65,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,107,5.6,46165,26.84,49,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2016,147,7.9,411656,408.08,75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2014,169,8.6,1047747,187.99,74,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2016,115,7.6,293732,232.6,72,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2016,132,6.9,122853,93.38,54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016,89,6.3,120690,97.66,66,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,111,7.5,135095,27.85,99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,115,7.2,37033,12.79,66,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,99,6.3,279,4.21,57,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,136,6.7,395025,241.06,45,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,132,7.3,17818,3.44,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,122,7.1,164567,158.8,68,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,136,8.1,661608,936.63,81,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2016,91,5.8,41362,30.35,23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,118,5.6,20221,32.46,18,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,101,7.2,321933,43,68,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008,152,9,1791916,533.32,82,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
